DEMAND,YEAR,DISPINC,RETPRICE,PORKPRICE,FISHPRICE
27.8,1960,397.5,42.2,50.7,78.3
29.9,1961,413.3,38.1,52,79.2
29.8,1962,439.2,40.3,54,79.2
30.8,1963,459.7,39.5,55.3,79.2
31.2,1964,492.9,37.3,54.7,77.4
33.3,1965,528.6,38.1,63.7,80.2
35.6,1966,560.3,39.3,69.8,80.4
36.4,1967,624.6,37.8,65.9,83.9
36.7,1968,666.4,38.4,64.5,85.5
38.4,1969,717.8,40.1,70,93.7
40.4,1970,768.2,38.6,73.2,106.1
40.3,1971,843.3,39.8,67.8,104.8
41.8,1972,911.6,39.7,79.1,114
40.4,1973,931.1,52.1,95.4,124.1
40.7,1974,1021.50,48.9,94.2,127.6
40.1,1975,1165.90,58.3,123.5,142.9
42.7,1976,1349.60,57.9,129.9,143.6
44.1,1977,1449.40,56.5,117.6,139.2
46.7,1978,1575.50,63.7,130.9,165.5
50.6,1979,1759.10,61.6,129.8,203.3
50.1,1980,1994.20,58.9,128,219.6
51.7,1981,2258.10,66.4,141,221.6
52.9,1982,2478.70,70.4,168.2,232.6
